Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
koyzipi,N,P-s,"coffin, casket, sarcophagus",zipi,MODIFIED,,1275;ERGANE:47764
tozipi,N,P-s,"passage/passageway, channel, way",zipi,MODIFIED,,932
kuzumi,N,P-s,chain,zumi,MODIFIED,,206;ERGANE:52309
bozumi,N,P-s,solution [liquid mixture],zumi,MODIFIED,,105
jisi,N,P-s,chair,zumi,DERIVATE,,46
kunjisi,N,P-s,"bed, bunk, berth, pallet",jisi,MODIFIED,,1279;ERGANE:24457
dajisi,N,P-s,"ladder, stepladder",jisi,MODIFIED,,660;ERGANE:49152
bujisi,N,P-s,"table, bench, stand",jisi,MODIFIED,,598;ERGANE:43013
jajisi,N,P-s,"counter, checkout (counter), table or other flat surface over which business transactions and other work are conducted",jisi,MODIFIED,,756;ERGANE:46166
dijisi,N,P-s,tripod,jisi,MODIFIED,,679
zejisi,N,P-s,"sofa, couch, settee, lounge",jisi,MODIFIED,,984;ERGANE:40881
cujisi,N,P-s,shelf,jisi,MODIFIED,,646;ERGANE:6204
byejisi,N,P-s,furniture (piece of),jisi,MODIFIED,,1067
kojisi,N,P-s,"desk, writing table",jisi,MODIFIED,,858
fijisi,N,P-s,bookcase,jisi,MODIFIED,,719
fimi,N,P-s,"book, volume, tome",zumi,DERIVATE,,42;ERGANE:24143
dayfimi,N,P-s,"copy, duplicate",fimi,MODIFIED,,1136;ERGANE:10007
kufimi,N,P-s,"list(ing), table/tabulation, itemization",fimi,MODIFIED,,868
kufimapa,V,A/P-d,"list, tabulate, itemize",kufimi,CHANGED,,2627
doyfimi,N,P-s,ticket,fimi,MODIFIED,,1159
jadoyfimi,N,P-s,"receipt, bill of sale",doyfimi,MODIFIED,,2887;ERGANE:37582
jakwafimi,N,P-s,"bill, written statement of amount payable",fimi,MODIFIED,,1701;ERGANE:5280
dwebefimi,N,P-s,doll,fimi,MODIFIED,,1681
tifimi,N,P-s,license plate,fimi,MODIFIED,,901
fatifimi,N,P-s,passport,tifimi,MODIFIED,,2506;ERGANE:32176
dufimi,N,P-s,"flag, banner, pennant",fimi,MODIFIED,,695
cudufimi,N,P-s,flagpole,dufimi,MODIFIED,,2474
jenfimi,N,P-s,"report, paper, treatise",fimi,MODIFIED,,1220
fojenfimi,N,P-s,"article, piece, story",jenfimi,MODIFIED,,2873
fawfimi,N,P-s,"garbage, rubbish, waste",fimi,MODIFIED,,1179
junfimi,N,P-s,cast(ing) [from a mold],fimi,MODIFIED,,1241
