Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
zonbokavo,A,P-s,"leaky, leaking, dripping",bokavo,MODIFIED,,1777
dabokavo,A,P-s,boiled,bokavo,MODIFIED,,1456
fodabokavo,A,P-s,evaporated,dabokavo,MODIFIED,,3068
fodabokava,V,P-s,to be evaporated,fodabokavo,CHANGED,,4008
fodabokavupa,V,P-d,evaporate,fodabokava,SUFFIXED,,4737
dabokava,V,P-s,be boiled,dabokavo,CHANGED,,2481
dankavo,A,P-s,"extra, spare, surplus",kavo,MODIFIED,,301;ERGANE:9881
dankava,V,P-s,"be extra, spare, surplus",dankavo,CHANGED,,1125
fekavo,A,P-s,"on fire, aflame, burning",kavo,MODIFIED,,139
fekava,V,P-s,"be on fire, aflame, burning",fekavo,CHANGED,,709
jikavo,A,P-s,"vertical, erect, standing",kavo,MODIFIED,,166;ERGANE:46387
jikava,V,P-s,"be vertical, erect, standing",jikavo,CHANGED,,776
kawkavo,A,P-s,"agitated, turbulent, perturbed",kavo,MODIFIED,,348
kawkava,V,P-s,"to be agitated, turbulent, perturbed",kawkavo,CHANGED,,1254
kawkavapa,V,A/P-d,"agitate, perturb/perturbate, stir up, churn, disturb",kawkava,SUFFIXED,,2915
bokoykavo,A,P-s,drowned,kavo,MODIFIED,,442
bokoykava,V,P-s,be drowned,bokoykavo,CHANGED,,1617
jakavo,A,P-s,"valuable, dear, precious",kavo,MODIFIED,,157;ERGANE:2786
jakava,V,P-s,"be valuable, dear, precious",jakavo,CHANGED,,758
jakavoni,N,P-s,"value, worth",jakava,CHANGED,,2547
zikwikavo,A,P-s,"hand-made, hand-crafted, homemade, made by hand",kavo,MODIFIED,,475
zikwikava,V,P-s,"be hand-made, hand-crafted, homemade, made by hand",zikwikavo,CHANGED,,1774
fikavo,A,P-s,"marked, not blank",kavo,MODIFIED,,145
fikava,V,P-s,"to be marked, not blank",fikavo,CHANGED,,722
fikavapa,V,A/P-d,"mark, add marking to",fikava,SUFFIXED,,2522;ERGANE:8479
jotwekavo,A,P-s,curled (up),kavo,MODIFIED,,457
jotwekava,V,P-s,be curled (up),jotwekavo,CHANGED,,1716
kwekavo,A,P-s,"on, active, running, operating, functioning",kavo,MODIFIED,,361
jekwekavi,N,P-s,survivor,kwekavo,CHANGED,,1705;ERGANE:34520
kwekava,V,P-s,"to be on, active, running, operating, functioning",kwekavo,CHANGED,,1290
kwekavapa,V,A/P-d,"turn on, activate, energize, switch on, start up",kwekava,SUFFIXED,,2962
kavapo,A,P-s,"responsible, that caused to become a reality",kavo,SUFFIXED,,180
zonkavo,A,P-s,"rigid, firm, immovable",kavo,MODIFIED,,391
zonkava,V,P-s,"be rigid, firm, immovable",zonkavo,CHANGED,,1378
danjinkavo,A,P-s,"slanted, sloping, inclining, not level, at an angle greater than zero degrees",kavo,MODIFIED,,477
kemo,A,P-s,"big, large, having great size",kavo,DERIVATE,"Scalar non-relational state (non-measurable), typically vague or subjective",53
jakemo,A,P-s,"wealthy, rich, affluent, moneyed, well-to-do, prosperous",kemo,MODIFIED,,759
jakemoni,N,P-s,"wealth, affluence, prosperity",jakemo,CHANGED,,2548
tajakemo,A,P-s,credit-worthy,jakemo,MODIFIED,,2650
tajakemoni,N,P-s,credit [financial],tajakemo,CHANGED,,4027
tajakema,V,P-s,be credit-worthy,tajakemo,CHANGED,,3805
jakema,V,P-s,"be wealthy, rich, affluent, moneyed",jakemo,CHANGED,,2000
jakemunza,V,P/F-s,"be rich of, abound of",jakema,SUFFIXED,,3901
jakemunzemi,N,P-s,"fortune, net worth, worth, assets, means",jakemunza,CHANGED,,4724
twakemo,A,P-s,"fashionable, stylish, chic, modish, vogue, a la mode, in fashion",kemo,MODIFIED,,1330
twakemono,A,P-s,"fashionable, stylish",twakemo,SUFFIXED,,2986
twakemona,V,P-s,"be fashionable, stylish",twakemono,CHANGED,,3962
twakemoni,N,P-s,"fashion, style, vogue, mode",twakemono,CHANGED,,3963;ERGANE:22888
twakema,V,P-s,"be fashionable, stylish, chic, modish, vogue, a la mode, in fashion",twakemo,CHANGED,,2369
caxankemo,A,P-s,"fragrant, aromatic",kemo,MODIFIED,,1633
caxankema,V,P-s,"be fragrant, aromatic",caxankemo,CHANGED,,2794
kikemo,A,P-s,"lit (up), illuminated, light, alight",kemo,MODIFIED,,849
kikema,V,P-s,"to be lit (up), illuminated, light, alight",kikemo,CHANGED,,2071
kikemasa,V,A/P-s,"light (up), illuminate",kikema,SUFFIXED,,3775
kaykemo,A,P-s,"attractive, good-looking",kemo,MODIFIED,,1259;ERGANE:13929
kaykema,V,P-s,"be attractive, good-looking",kaykemo,CHANGED,,2326
kekaykemo,A,P-s,"beautiful, handsome, lovely",kaykemo,MODIFIED,,2926
kekaykema,V,P-s,"be beautiful, handsome, lovely",kekaykemo,CHANGED,,3928
bikaykemo,A,P-s,"gorgeous, stunning, ravishing",kaykemo,MODIFIED,,2751
bikaykema,V,P-s,"be gorgeous, stunning, ravishing",bikaykemo,CHANGED,,3843
cankaykemo,A,P-s,"cute, pretty",kaykemo,MODIFIED,,3044
cankaykema,V,P-s,"be cute, pretty",cankaykemo,CHANGED,,3999
cawkemo,A,P-s,smooth,kemo,MODIFIED,,1088;ERGANE:9270
cawkema,V,P-s,be smooth,cawkemo,CHANGED,,2216
kemoni,N,P-s,"size, magnitude, extent, largeness",kemo,CHANGED,,829;ERGANE:15434
xaso,A,P-s,easy,kemo,DERIVATE,abstract attributes/qualities of performances and their components,518
zunxaso,A,P-s,"lifelike, true to life, realistic, natural",xaso,MODIFIED,,2398
zunxasa,V,P-s,"be lifelike, true to life, realistic, natural",zunxaso,CHANGED,,3657
beso,A,P-s,"difficult, hard, troublesome",xaso,OPPOSITE,opposites of abstract attributes/qualities of performances and their components,1838
cebeso,A,P-s,"gradual, leisurely, easy, deliberate, gentle, slow",beso,MODIFIED,,3254
cebesa,V,P-s,"be gradual, leisurely, easy, deliberate, gentle, slow",cebeso,CHANGED,,4098
besa,V,P-s,"be difficult, hard, troublesome",beso,CHANGED,,3185
besoni,N,P-s,"difficulty, trouble",besa,CHANGED,,4086
tibesa,V,P-s,"fall behind, lose ground, regress, backslide",besa,MODIFIED,,4158
dubeso,A,P-s,"dependent, non-autonomous, not self-governing",beso,MODIFIED,,3280
kudubeso,A,P-s,"domestic, local, not international",dubeso,MODIFIED,,4450
kudubesa,V,P-s,"be domestic, local, not international",kudubeso,CHANGED,,4828
dubesa,V,P-s,"be dependent, non-autonomous, not self-governing",dubeso,CHANGED,,4116
kobeso,A,P-s,"incorrect, mistaken, inaccurate, wrong",beso,MODIFIED,,3354
kobesa,V,P-s,"be incorrect, mistaken, inaccurate, wrong",kobeso,CHANGED,,4147
kunbeso,A,P-s,"public, overt, open, not private or secret",beso,MODIFIED,,3583;ERGANE:35843
kunbesa,V,P-s,"be public, overt, open, not private or secret",kunbeso,CHANGED,,4275
kawbeso,A,P-s,"constant, invariable, unvarying, unchanging, unwavering",beso,MODIFIED,,3562
kawbesa,V,P-s,"be constant, invariable, unvarying, unchanging, unwavering",kawbeso,CHANGED,,4264
xenbeso,A,P-s,"inopportune, ill-timed, inexpedient, non-advantageous, unfavorable",beso,MODIFIED,,3615
xenbesa,V,P-s,"be inopportune, ill-timed, inexpedient, non-advantageous, unfavorable",xenbeso,CHANGED,,4297
joybeso,A,P-s,"obscene, indecent, lewd, salacious, licentious",beso,MODIFIED,,3551
joybesa,V,P-s,"be obscene, indecent, lewd, salacious, licentious",joybeso,CHANGED,,4259
dinbeso,A,P-s,"cacophonous, discordant, dissonant, not melodic or harmonious",beso,MODIFIED,,3499
dwedinbeso,A,P-s,"deadpan, unfunny, not humorous, unamusing, poker-faced",dinbeso,MODIFIED,,4669
dwedinbesa,V,P-s,"be deadpan, unfunny, not humorous, unamusing, poker-faced",dwedinbeso,CHANGED,,4951
kawdinbeso,A,P-s,"arrhythmic, uncadenced, non-metrical",dinbeso,MODIFIED,,4683
kawdinbesa,V,P-s,"be arrhythmic, uncadenced, non-metrical",kawdinbeso,CHANGED,,4965
dinbesa,V,P-s,"be cacophonous, discordant, dissonant, not melodic or harmonious",dinbeso,CHANGED,,4221
babeso,A,P-s,"disorderly, upset, chaotic, turbulent, tumultuous, frenzied",beso,MODIFIED,,3216
babesa,V,P-s,"be disorderly, upset, chaotic, turbulent, tumultuous, frenzied",babeso,CHANGED,,4081
binbeso,A,P-s,"simple, uncomplicated, uninvolved, plain",beso,MODIFIED,,3441
binbesa,V,P-s,"to be simple, uncomplicated, uninvolved, plain",binbeso,CHANGED,,4191
binbesapa,V,A/P-d,"simplify, streamline, reduce, make simple or plain",binbesa,SUFFIXED,,4853;ERGANE:40330
zunbeso,A,P-s,"not lifelike, not true to life, unrealistic, unconvincing",beso,MODIFIED,,3653
zunbesa,V,P-s,"be not lifelike, not true to life, unrealistic, unconvincing",zunbeso,CHANGED,,4324
xibeso,A,P-s,"unjustified, unwarranted, uncalled for",beso,MODIFIED,,3402
xibesa,V,P-s,"be unjustified, unwarranted, uncalled for",xibeso,CHANGED,,4168
janbeso,A,P-s,"illegal, unlawful, illicit, against the law",beso,MODIFIED,,3533;ERGANE:29653
janbesa,V,P-s,"be illegal, unlawful, illicit, against the law",janbeso,CHANGED,,4250
cadunbeso,A,P-s,"chaotic, disorderly, irregular, topsy-turvy",beso,MODIFIED,,3858
cadunbesa,V,P-s,"be chaotic, disorderly, irregular, topsy-turvy",cadunbeso,CHANGED,,4532
cawbeso,A,P-s,"indirect, roundabout, devious/deviating, oblique, circuitous",beso,MODIFIED,,3463;ERGANE:32620
cawbesa,V,P-s,"be indirect, roundabout, devious/deviating, oblique, circuitous",cawbeso,CHANGED,,4207
kejabeso,A,P-s,deflational,beso,MODIFIED,,3761
kejabesa,V,P-s,be deflational,kejabeso,CHANGED,,4437
kejabesoni,N,P-s,"deflation, falling prices",kejabesa,CHANGED,,4966
danbeso,A,P-s,"unproductive, worthless, useless, pointless, waste of time, unrewarding",beso,MODIFIED,,3485
danbesa,V,P-s,"to be unproductive, worthless, useless, pointless, waste of time, unrewarding",danbeso,CHANGED,,4216
danbesasa,V,A/P-s,"waste, use or pass unproductively",danbesa,SUFFIXED,,4872;ERGANE:26497
jenbeso,A,P-s,"nonprofessional, inexpert, lay",beso,MODIFIED,,3543
jenbesa,V,P-s,"be nonprofessional, inexpert, lay",jenbeso,CHANGED,,4254
tabunbeso,A,P-s,"risk-free, safe, not chancy or at risk",beso,MODIFIED,,3954
tabunbesa,V,P-s,"be risk-free, safe, not chancy or at risk",tabunbeso,CHANGED,,4608
cubeso,A,P-s,"advanced, non-rudimentary",beso,MODIFIED,,3264
cubesa,V,P-s,"be advanced, non-rudimentary",cubeso,CHANGED,,4102
cabeso,A,P-s,"imperfect, deficient, substandard, below par, not up to scratch, not perfect",beso,MODIFIED,,3248;ERGANE:29797
cabesa,V,P-s,"be imperfect, deficient, substandard, below par, not up to scratch, not perfect",cabeso,CHANGED,,4096
dencabeso,A,P-s,"unethical, immoral, bad",cabeso,MODIFIED,,4549
bidencabeso,A,P-s,"evil, wicked",dencabeso,MODIFIED,,4994
bidencabesa,V,P-s,"be evil, wicked",bidencabeso,CHANGED,,5085
dencabesa,V,P-s,"be unethical, immoral, bad",dencabeso,CHANGED,,4877
bindunbeso,A,P-s,"informal, unofficial, not stylized or conventionalized",beso,MODIFIED,,3989
bindunbesa,V,P-s,"be informal, unofficial, not stylized or conventionalized",bindunbeso,CHANGED,,4650
bubeso,A,P-s,"easy, light, not toilsome or laborious",beso,MODIFIED,,3241
kobubeso,A,P-s,"inappropriate, inapt, unsuitable/unsuited, improper, unfit(ting), not apposite, wrong",bubeso,MODIFIED,,4445
kobubesa,V,P-s,"be inappropriate, inapt, unsuitable/unsuited, improper, unfit(ting), not apposite, wrong",kobubeso,CHANGED,,4827
bubesa,V,P-s,"be easy, light, not toilsome or laborious",bubeso,CHANGED,,4092
cabubesa,V,P-s,"fail, be unsuccessful",bubesa,MODIFIED,,4802;ERGANE:29494
cabubesenvi,N,P-s,"failure, flop",cabubesa,CHANGED,,5088
dunbubeso,A,P-s,"permissive, lax, not strict",bubeso,MODIFIED,,4552
dunbubesa,V,P-s,"be permissive, lax, not strict",dunbubeso,CHANGED,,4884
cabubeso,A,P-s,"unsuccessful, failed",bubeso,MODIFIED,,4359
kabubeso,A,P-s,"impractical, unpragmatic, unrealistic, undoable, unusable",bubeso,MODIFIED,,4426
kabubesa,V,P-s,"be impractical, unpragmatic, unrealistic, undoable, unusable",kabubeso,CHANGED,,4821
tibubeso,A,P-s,inefficient,bubeso,MODIFIED,,4464;ERGANE:29537
tibubesa,V,P-s,be inefficient,tibubeso,CHANGED,,4835
zenbeso,A,P-s,"reclusive, solitary, withdrawn, unsocial/unsociable, private, hermitic(al)",beso,MODIFIED,,3628
zenbesa,V,P-s,"be reclusive, solitary, withdrawn, unsocial/unsociable, private, hermitic(al)",zenbeso,CHANGED,,4309
fenbeso,A,P-s,"confined, pent-up, not free or at liberty",beso,MODIFIED,,3520
fenbesa,V,P-s,"be confined, pent-up, not free or at liberty",fenbeso,CHANGED,,4241
xobeso,A,P-s,"impotent, weak, powerless, ineffectual, having no power or authority",beso,MODIFIED,,3406
xobesa,V,P-s,"be impotent, weak, powerless, ineffectual, having no power or authority",xobeso,CHANGED,,4170
xobesoni,N,P-s,"impotence, weakness, powerlessness",xobesa,CHANGED,,4840
kwebeso,A,P-s,"silly, nonsensical, absurd, ridiculous, dumb, asinine",beso,MODIFIED,,3592
binkwebeso,A,P-s,"manual, non-automatic, not self-acting or self-operating; i.e.,, can only happen or function with outside intervention",kwebeso,MODIFIED,,4651;ERGANE:68894
binkwebesa,V,P-s,"be manual, non-automatic, not self-acting or self-operating; i.e.,, can only happen or function with outside intervention",binkwebeso,CHANGED,,4936
kwebesa,V,P-s,"be silly, nonsensical, absurd, ridiculous, dumb, asinine",kwebeso,CHANGED,,4279
finbeso,A,P-s,"public, non-exclusive, open or available to the public",beso,MODIFIED,,3524;ERGANE:35843
finbesa,V,P-s,"be public, non-exclusive, open or available to the public",finbeso,CHANGED,,4243
jebeso,A,P-s,"superficial, cursory, non-exhaustive, non-comprehensive",beso,MODIFIED,,3312
jebesa,V,P-s,"be superficial, cursory, non-exhaustive, non-comprehensive",jebeso,CHANGED,,4133
byubeso,A,P-s,"permanent, changeless, perpetual, everlasting, eternal",beso,MODIFIED,,3456
byubesa,V,P-s,"be permanent, changeless, perpetual, everlasting, eternal",byubeso,CHANGED,,4204
binxasi,N,P-s,complication,xaso,CHANGED,,2181
catexaso,A,P-s,"grammatical, grammatically correct",xaso,MODIFIED,,2466
catexasa,V,P-s,"be grammatical, grammatically correct",catexaso,CHANGED,,3705
bixaso,A,P-s,"universal, all-embracing, all-inclusive, all-encompassing",xaso,MODIFIED,,1911
bixasa,V,P-s,"be universal, all-embracing, all-inclusive, all-encompassing",bixaso,CHANGED,,3233
jenxaso,A,P-s,"professional, authoritative, expert",xaso,MODIFIED,,2301
jenxasa,V,P-s,"be professional, authoritative, expert",jenxaso,CHANGED,,3546
xasa,V,P-s,to be easy,xaso,CHANGED,,1870
xixasa,V,P-s,be justified,xasa,MODIFIED,,3404
xixasapa,V,A/P-d,"justify, warrant, vindicate",xixasa,SUFFIXED,,4482
xixasoni,N,P-s,"right, prerogative, license, justification, vindication",xixasa,CHANGED,,4483
tixasa,V,P-s,"progress, advance, make headway, get ahead, gain ground",xasa,MODIFIED,,3390;ERGANE:35352
tixasoni,N,P-s,"progress, advancement, headway",tixasa,CHANGED,,4469
zonxasa,V,P-s,"stagnate, vegetate, be at a standstill or impasse",xasa,MODIFIED,,3648
dunxasa,V,P-s,"be limited, be restrained",xasa,MODIFIED,,3515
dunxasapa,V,A/P-d,"restrict, restrain, limit, confine",dunxasa,SUFFIXED,,4555
kuxasa,V,P-s,rhyme,xasa,MODIFIED,,3375;ERGANE:37726
zuxaso,A,P-s,"trivial, trifling, immaterial",xaso,MODIFIED,,2173
zuxasa,V,P-s,"be trivial, trifling, immaterial",zuxaso,CHANGED,,3438
zutaxaso,A,P-s,"peculiar, odd, strange, queer, curious",xaso,MODIFIED,,2730
zutaxasa,V,P-s,"be peculiar, odd, strange, queer, curious",zutaxaso,CHANGED,,3836
cunxaso,A,P-s,"safe, secure",xaso,MODIFIED,,2228
cunxasa,V,P-s,"to be safe, secure",cunxaso,CHANGED,,3482
cunxasasa,V,A/P-s,"protect, safeguard, keep safe, defend",cunxasa,SUFFIXED,,4541
cunxasasinki,N,P-s,"protection, safekeeping",cunxasasa,CHANGED,,5026
cunxasoni,N,P-s,"safety, security, protectedness",cunxasa,CHANGED,,4542
xenxaso,A,P-s,"opportune, timely, expedient, advantageous, favorable",xaso,MODIFIED,,2373
xenxasa,V,P-s,"be opportune, timely, expedient, advantageous, favorable",xenxaso,CHANGED,,3619
xenxasoni,N,P-s,"opportunity, chance",xenxasa,CHANGED,,4620
kwexaso,A,P-s,"serious, grave, weighty",xaso,MODIFIED,,2347
kwexasa,V,P-s,"be serious, grave, weighty",kwexaso,CHANGED,,3594
binkwexaso,A,P-s,"automatic, self-acting, self-operating; i.e.,, happens or functions without outside intervention",kwexaso,MODIFIED,,3991;ERGANE:4713
binkwexasa,V,P-s,"be automatic, self-acting, self-operating; i.e.,, happens or functions without outside intervention",binkwexaso,CHANGED,,4652
cexaso,A,P-s,"sudden, abrupt",xaso,MODIFIED,,1937
cexasa,V,P-s,"be sudden, abrupt",cexaso,CHANGED,,3258
cawxaso,A,P-s,"direct, straightforward, undeviating, unswerving",xaso,MODIFIED,,2217
cawxasa,V,P-s,"be direct, straightforward, undeviating, unswerving",cawxaso,CHANGED,,3467
janxaso,A,P-s,"legal, in compliance with the law, opposite of illegal",xaso,MODIFIED,,2294
fawjanxaso,A,P-s,"anarchic, lawless, lacking government or control",janxaso,MODIFIED,,4005
fawjanxasa,V,P-s,"be anarchic, lawless, lacking government or control",fawjanxaso,CHANGED,,4672
janxasa,V,P-s,"be legal, in compliance with the law, opposite of illegal",janxaso,CHANGED,,3537
duxaso,A,P-s,"sovereign, autonomous, self-governing, independent",xaso,MODIFIED,,1965;ERGANE:42910
kuduxaso,A,P-s,"international, not local or domestic",duxaso,MODIFIED,,3780;ERGANE:17683
kuduxasa,V,P-s,"be international, not local or domestic",kuduxaso,CHANGED,,4451
duxasa,V,P-s,"be sovereign, autonomous, self-governing, independent",duxaso,CHANGED,,3282
caxaso,A,P-s,"perfect, not deficient, not substandard, not below par, up to scratch",xaso,MODIFIED,,1933
dencaxaso,A,P-s,"ethical, moral, virtuous, good",caxaso,MODIFIED,,3882
dencaxasa,V,P-s,"be ethical, moral, virtuous, good",dencaxaso,CHANGED,,4550
dencaxasoni,N,P-s,"morality, ethics, virtuosity",dencaxasa,CHANGED,,5004
caxasa,V,P-s,"be perfect, not deficient, not substandard, not below par, up to scratch",caxaso,CHANGED,,3253
bunxaso,A,P-s,"dangerous, perilous, unsafe, hazardous, parlous",xaso,MODIFIED,,2189
bunxasa,V,P-s,"be dangerous, perilous, unsafe, hazardous, parlous",bunxaso,CHANGED,,3450
bunxasoni,N,P-s,"danger, hazard, peril, jeopardy",bunxasa,CHANGED,,4524
tabunxaso,A,P-s,"risky, chancy, at risk",bunxaso,MODIFIED,,3955
tabunxasa,V,P-s,"to be risky, chancy, at risk",tabunxaso,CHANGED,,4609
tabunxasoni,N,P-s,"risk, chance, hazard",tabunxasa,CHANGED,,5021
tabunxasimba,V,AP/F-d,"risk, gamble, try one's luck with/at, take a risk with/at",tabunxasa,SUFFIXED,,5031
cuxaso,A,P-s,"basic, fundamental, rudimentary",xaso,MODIFIED,,1946
cuxasa,V,P-s,"be basic, fundamental, rudimentary",cuxaso,CHANGED,,3267
dinxaso,A,P-s,"melodic/melodious, harmonious",xaso,MODIFIED,,2258
dwedinxaso,A,P-s,"funny, humorous, comic, amusing",dinxaso,MODIFIED,,4004
dwedinxasa,V,P-s,"be funny, humorous, comic, amusing",dwedinxaso,CHANGED,,4670
judinxaso,A,P-s,"dignified, solemn, sedate",dinxaso,MODIFIED,,3915
judinxasa,V,P-s,"be dignified, solemn, sedate",judinxaso,CHANGED,,4583
kawdinxaso,A,P-s,"rhythmic, cadenced, metrical",dinxaso,MODIFIED,,4015
kawdinxasa,V,P-s,"be rhythmic, cadenced, metrical",kawdinxaso,CHANGED,,4684
dinxasa,V,P-s,"be melodic/melodious, harmonious",dinxaso,CHANGED,,3503
finxaso,A,P-s,"private, exclusive",xaso,MODIFIED,,2280
finxasa,V,P-s,"be private, exclusive",finxaso,CHANGED,,3525
xonkixaso,A,P-s,pornographic,xaso,MODIFIED,,3002
xonkixasa,V,P-s,be pornographic,xonkixaso,CHANGED,,3969
bexaso,A,P-s,"personal, individual, private",xaso,MODIFIED,,1895
bexasa,V,P-s,"be personal, individual, private",bexaso,CHANGED,,3225
binxaso,A,P-s,"complex, complicated, intricate, abstruse",xaso,MODIFIED,,2182
binxasa,V,P-s,"to be complex, complicated, intricate, abstruse",binxaso,CHANGED,,3443
binxasoni,N,P-s,"complexity, intricacy, abstruseness",binxasa,CHANGED,,4515
binxasapa,V,A/P-d,"complicate, perplex, confound, make complicated or complex",binxasa,SUFFIXED,,4514
jenbinxaso,A,P-s,technical,binxaso,MODIFIED,,4012
jenbinxasa,V,P-s,be technical,jenbinxaso,CHANGED,,4679
kwixaso,A,P-s,"domestic, household, home",xaso,MODIFIED,,2349
kwixasa,V,P-s,"be domestic, household, home",kwixaso,CHANGED,,3595
zenxaso,A,P-s,"social, associational, communal",xaso,MODIFIED,,2381
zenxasa,V,P-s,"be social, associational, communal",zenxaso,CHANGED,,3634
kuxaso,A,P-s,rhyming,xaso,MODIFIED,,2091
faxaso,A,P-s,"foreign, alien, from another place",xaso,MODIFIED,,1971
faxasa,V,P-s,"be foreign, alien, from another place",faxaso,CHANGED,,3288
tanxaso,A,P-s,"local, nearby",xaso,MODIFIED,,2354;ERGANE:36789
tanxasa,V,P-s,"be local, nearby",tanxaso,CHANGED,,3598
byuxaso,A,P-s,"temporary, interim, transient",xaso,MODIFIED,,2201
byuxasa,V,P-s,"be temporary, interim, transient",byuxaso,CHANGED,,3459
dayxaso,A,P-s,"fair, just, equitable",xaso,MODIFIED,,2249;ERGANE:18269
dayxasa,V,P-s,"be fair, just, equitable",dayxaso,CHANGED,,3494
jexaso,A,P-s,"thorough, exhaustive, comprehensive",xaso,MODIFIED,,2014
jexasa,V,P-s,"be thorough, exhaustive, comprehensive",jexaso,CHANGED,,3321
dawxaso,A,P-s,"timely, on time",xaso,MODIFIED,,2246
dawxasa,V,P-s,"be timely, on time",dawxaso,CHANGED,,3491
foydaxaso,A,P-s,"pitched, having pitch or sound frequency",xaso,MODIFIED,,2876
foydaxasa,V,P-s,"be pitched, having pitch or sound frequency",foydaxaso,CHANGED,,3898
foydaxasoni,N,P-s,"pitch, sound frequency",foydaxasa,CHANGED,,4723
jaxaso,A,P-s,"commercial, mercantile, business, trade, having to do with buying and selling",xaso,MODIFIED,,2003
kejaxaso,A,P-s,inflational,jaxaso,MODIFIED,,3762
kejaxasa,V,P-s,be inflational,kejaxaso,CHANGED,,4438
kejaxasoni,N,P-s,"inflation, rising prices",kejaxasa,CHANGED,,4967;ERGANE:17295
jaxasa,V,P-s,"be commercial, mercantile, business, trade, having to do with buying and selling",jaxaso,CHANGED,,3311
kawxaso,A,P-s,"varying, changing, unsteady, wavering, fluctuating, vacillating",xaso,MODIFIED,,2323
kawxasa,V,P-s,"be varying, changing, unsteady, wavering, fluctuating, vacillating",kawxaso,CHANGED,,3564
bindunxaso,A,P-s,"formal, stylized, conventionalized, official",xaso,MODIFIED,,3033
bindunxasa,V,P-s,"be formal, stylized, conventionalized, official",bindunxaso,CHANGED,,3990
bindunxasinki,N,P-s,"formality, convention, ritual",bindunxasa,CHANGED,,4739
danxaso,A,P-s,"productive, worthwhile, useful, advantageous, gainful, rewarding",xaso,MODIFIED,,2233
danxasa,V,P-s,"be productive, worthwhile, useful, advantageous, gainful, rewarding",danxaso,CHANGED,,3487
baxaso,A,P-s,"peaceful, calm, serene, tranquil, harmonious, orderly",xaso,MODIFIED,,1891;ERGANE:31495
baxasa,V,P-s,"be peaceful, calm, serene, tranquil, harmonious, orderly",baxaso,CHANGED,,3222
baxasoni,N,P-s,"peace, harmony, tranquility, serenity, calm, order",baxasa,CHANGED,,4332;ERGANE:44411
koxaso,A,P-s,"correct, accurate, right, proper",xaso,MODIFIED,,2080;ERGANE:39354
koxasa,V,P-s,"be correct, accurate, right, proper",koxaso,CHANGED,,3366
buxaso,A,P-s,"laborious, arduous, toilsome, strenuous, backbreaking",xaso,MODIFIED,,1925
tibuxaso,A,P-s,efficient,buxaso,MODIFIED,,3813
tibuxasa,V,P-s,be efficient,tibuxaso,CHANGED,,4465
tibuxasoni,N,P-s,efficiency,tibuxasa,CHANGED,,4983
cabuxaso,A,P-s,successful,buxaso,MODIFIED,,3699
cabuxasa,V,P-s,be successful,cabuxaso,CHANGED,,4362
cabuxasoni,N,P-s,success,cabuxasa,CHANGED,,4944
dubuxaso,A,P-s,"official, authoritative",buxaso,MODIFIED,,3718;ERGANE:30803
dubuxasa,V,P-s,"be official, authoritative",dubuxaso,CHANGED,,4384
dunbuxaso,A,P-s,"strict, stringent",buxaso,MODIFIED,,3886
dunbuxasa,V,P-s,"be strict, stringent",dunbuxaso,CHANGED,,4553
buxasa,V,P-s,"be laborious, arduous, toilsome, strenuous, backbreaking",buxaso,CHANGED,,3246
kobuxaso,A,P-s,"appropriate, apt, suitable, proper, fit(ting), apposite, right",buxaso,MODIFIED,,3778
kobuxasa,V,P-s,"be appropriate, apt, suitable, proper, fit(ting), apposite, right",kobuxaso,CHANGED,,4446
kabuxaso,A,P-s,"practical, pragmatic, realistic, doable, usable",buxaso,MODIFIED,,3751
kabuxasa,V,P-s,"be practical, pragmatic, realistic, doable, usable",kabuxaso,CHANGED,,4428
fenxaso,A,P-s,"free, at liberty, unconfined",xaso,MODIFIED,,2274
fenxasa,V,P-s,"to be free, at liberty, unconfined",fenxaso,CHANGED,,3522
fenxasoni,N,P-s,"freedom, liberty",fenxasa,CHANGED,,4564
fenxasapa,V,A/P-d,"free, release",fenxasa,SUFFIXED,,4563
fenxasimba,V,AP/F-d,"escape from, free oneself",fenxasa,SUFFIXED,,4675
kukaxaso,A,P-s,"industrial, having to do with manufacturing production",xaso,MODIFIED,,2630
kukaxasa,V,P-s,"be industrial, having to do with manufacturing production",kukaxaso,CHANGED,,3783
cadunxaso,A,P-s,"orderly, methodical, systematic, well-regulated",xaso,MODIFIED,,2782
cadunxasa,V,P-s,"be orderly, methodical, systematic, well-regulated",cadunxaso,CHANGED,,3859
joyxaso,A,P-s,"wholesome, good, not obscene or indecent",xaso,MODIFIED,,2314;ERGANE:38712
joyxasa,V,P-s,"be wholesome, good, not obscene or indecent",joyxaso,CHANGED,,3558
cejunxaso,A,P-s,"creative, imaginative, innovative",xaso,MODIFIED,,2801
cejunxasa,V,P-s,"be creative, imaginative, innovative",cejunxaso,CHANGED,,3868
kunxaso,A,P-s,"secret, confidential, sub rosa, private",xaso,MODIFIED,,2340;ERGANE:19401
kunxasa,V,P-s,"be secret, confidential, sub rosa, private",kunxaso,CHANGED,,3587
kokemo,A,P-s,"wise, sage/sagacious",kemo,MODIFIED,,861
kokema,V,P-s,"be wise, sage/sagacious",kokemo,CHANGED,,2076
xonxankemo,A,P-s,"rotten, putrid, spoiled, (gone) bad",kemo,MODIFIED,,1825
